StudentID,FirstName,LastName,GradeLevel,DateOfBirth,Gender,EnrollmentDate
S0001,Sarah,Doe,12,11/2/1993,M,2/1/2000
S0002,Mark,Smith,11,10/11/1987,M,1/31/1996
S0003,James,Doe,1,11/27/1997,M,3/16/2004
S0004,Daniel,Taylor,1,6/3/1987,M,6/6/1996
S0005,Daniel,Miller,4,12/7/1989,F,6/20/1999
S0006,John,Lee,12,7/12/1990,F,1/30/1997
S0007,Mark,Johnson,6,9/18/1997,M,11/3/2004
S0008,Sarah,Williams,6,1/28/1994,M,3/1/2003
S0009,Isabella,Wilson,2,7/9/1991,M,8/11/1999
S0010,Michael,Taylor,6,1/22/1987,M,1/2/1996
S0011,Sarah,Doe,11,11/24/1994,F,5/4/2000
S0012,Emily,Smith,7,10/9/1993,F,5/1/2002
S0013,Sophia,Lee,6,1/15/1992,M,10/16/2000
S0014,Michael,Smith,10,3/3/1996,M,1/30/2002
S0015,Isabella,Miller,5,7/8/1987,M,5/8/1996
S0016,Sophia,Doe,4,4/16/1999,F,7/14/2006
S0017,Michael,Smith,4,4/15/1987,F,6/22/1993
S0018,Isabella,Miller,11,9/19/1989,M,3/13/1996
S0019,Mark,Johnson,12,6/2/1987,F,8/7/1996
S0020,Olivia,Miller,10,1/19/1991,F,4/11/1997
S0021,Mark,Wilson,8,12/20/1997,M,10/17/2007
S0022,Sarah,Lee,11,6/2/1996,F,10/4/2004
S0023,Sarah,Miller,7,7/5/1989,F,8/10/1997
S0024,John,Smith,11,12/19/1987,F,4/9/1997
S0025,Sophia,Smith,5,4/4/1990,M,10/18/1997
S0026,John,Brown,9,1/1/1996,M,11/16/2005
S0027,Michael,Wilson,10,7/19/1995,M,8/21/2002
S0028,Mark,Wilson,9,12/30/1999,F,9/24/2007
S0029,John,Smith,6,2/9/1993,M,6/6/1998
S0030,Emily,Taylor,2,2/1/1998,F,8/29/2007
S0031,Sarah,Wilson,3,2/16/1997,F,3/16/2005
S0032,Mark,Brown,9,7/8/1990,M,7/15/1998
S0033,Emily,Brown,7,8/19/1991,F,7/12/1999
S0034,Isabella,Smith,4,12/20/1994,M,11/10/2001
S0035,John,Taylor,9,11/5/1994,M,11/18/1999
S0036,Sarah,Doe,4,6/30/1998,M,4/23/2008
S0037,Sophia,Smith,9,9/2/1994,F,6/2/2003
S0038,Isabella,Johnson,9,1/15/1997,F,5/26/2003
S0039,Isabella,Miller,4,11/22/1997,M,8/1/2006
S0040,James,Williams,7,10/15/1990,F,8/17/2000
S0041,John,Smith,1,12/23/1990,F,6/17/2000
S0042,Sarah,Johnson,4,9/28/1995,F,7/10/2001
S0043,James,Lee,5,8/19/1989,M,7/13/1999
S0044,Sarah,Davis,9,10/23/1997,M,6/18/2006
S0045,Daniel,Doe,2,9/15/1994,M,12/24/2001
S0046,Isabella,Davis,4,1/5/1991,M,12/6/1996
S0047,James,Doe,7,1/22/1994,F,8/27/2000
S0048,James,Wilson,11,2/3/1989,M,2/25/1995
S0049,Michael,Johnson,1,1/7/1987,M,3/16/1996
S0050,Sophia,Doe,1,4/25/1989,M,8/18/1994
